artistName,trackName,msPlayed
Useless ID,Land of Idiocracy,0.10066861111111111
The Marcus Hedges Trend Orchestra,Deku Tree,0.10140388888888889
All Time Low,Clumsy,0.10149833333333333
Lang Project,"Han Solo and the Princess (Piano Version) [From ""Star Wars, Episode V: The Empire Strikes Back""]",0.10150444444444444
Twinkle Twinkle Little Rock Star,Piano Man,0.10171666666666666
The Starting Line,The Best Of Me,0.10212222222222223
blink-182,Quarantine,0.10249444444444444
PornoGraffitti,THE DAY,0.1028025
A Day To Remember,Have Faith In Me,0.10313833333333333
My Chemical Romance,Teenagers - Live in Mexico City,0.10380916666666666
Random Encounters,Medics Don't Heal Scouts (feat. Dodger),0.1038213888888889
SayMaxWell,Megalovania - Remix,0.10412333333333333
Twinkle Twinkle Little Rock Star,I'm Not Okay (I Promise),0.10549916666666667
NateWantsToBattle,Stronger Than You,0.10579416666666666
Chameleon Circuit,Count The Shadows,0.10581666666666667
Alan Silvestri,The Avengers,0.10588833333333333
Lin-Manuel Miranda,Epilogue,0.10598444444444445
Mother Mother,It's Alright,0.10630527777777778
Trivium,Catastrophist,0.10691277777777777
Led Zeppelin,The Immigrant Song - Alternate Mix,0.10721694444444445
Steven Universe,Comet (feat. Tom Scharpling),0.10734805555555556
insaneintherainmusic,Song of Storms,0.10737138888888889
Sugarcult,Bouncing Off The Walls,0.10790472222222222
London Music Works,"The Avengers (From ""Avengers Assemble"")",0.10846805555555555
SR-71,Right Now,0.10858583333333334
Dudu Faruk,סטפן לגר,0.10898777777777778
My Chemical Romance,Cemetery Drive - Live on MTV2 2$Bill,0.10940722222222223
Neil Patrick Harris,Slipping,0.10998166666666667
Bloody Bloody Andrew Jackson Original Cast,"Populism, Yea Yea",0.10999444444444445
Jeff Williams,Mirror Mirror (White Trailer) [feat. Casey Lee Williams],0.11069416666666666
Billie Joe Armstrong,Silver Haired Daddy of Mine,0.11089444444444445
Friedrich Habetler,Giorno's Theme,0.11151805555555555
Bowling For Soup,Don't Be a Dick,0.11152111111111111
Ari Afsar,First Burn,0.11236583333333333
Baby Wars,May the Force Be with You (Lullaby Version),0.11255416666666666
AC/DC,Highway to Hell,0.11312527777777778
Forever The Sickest Kids,La La Lainey,0.11382416666666667
insaneintherainmusic,Breath of the Wild Main Theme,0.11441805555555555
Caleb Hyles,Discord - The Living Tombstone Remix,0.11511333333333333
Valve Studio Orchestra,The Art of War,0.11573916666666667
Fall Out Boy,Get Busy Living Or Get Busy Dying (Do Your Part To Save The Scene And Stop Going To Shows),0.11645055555555556
Nitroglitch,Gaster's Theme,0.11685694444444444
Mother Mother,Problems,0.11717916666666667
Doja Cat,Say So,0.11724944444444445
Green Day,Platypus (I Hate You),0.11786666666666666
LiSA,oath sign,0.11911222222222222
My Chemical Romance,The World Is Ugly,0.11967722222222223
The Beatles,Hey Jude - Remastered 2009,0.119815
Millie B,M to the B,0.1200625
Lang Project,"The Meadow Picnic (Piano Version) [From ""Star Wars, Episode Ii: Attack of the Clones""]",0.12171666666666667
DREAMERS,Sweet Disaster,0.1221125
Every Avenue,Tell Me I'm A Wreck,0.12249027777777778
